postcode,outcode,incode,admin_district,admin_county,admin_ward,region,country,latitude,longitude
SP8 4AF,SP8,4AF,Dorset,,Gillingham,South West,England,51.033129,-2.290412
SP8 4AR,SP8,4AR,Dorset,,Gillingham,South West,England,51.037664,-2.278146
SP8 4AX,SP8,4AX,Dorset,,Gillingham,South West,England,51.037412,-2.278202
SP8 4AZ,SP8,4AZ,Dorset,,Gillingham,South West,England,51.038796,-2.278738
SP8 4BA,SP8,4BA,Dorset,,Gillingham,South West,England,51.039478,-2.279041
SP8 4BB,SP8,4BB,Dorset,,Gillingham,South West,England,51.040371,-2.281742
SP8 4BD,SP8,4BD,Dorset,,Gillingham,South West,England,51.040165,-2.28137
SP8 4BE,SP8,4BE,Dorset,,Gillingham,South West,England,51.039255,-2.278341
SP8 4BF,SP8,4BF,Dorset,,Gillingham,South West,England,51.03991,-2.279015
SP8 4BG,SP8,4BG,Dorset,,Gillingham,South West,England,51.039416,-2.278713
SP8 4BJ,SP8,4BJ,Dorset,,Gillingham,South West,England,51.040826,-2.279634
SP8 4BQ,SP8,4BQ,Dorset,,Gillingham,South West,England,51.040314,-2.279303
SP8 4BX,SP8,4BX,Dorset,,Gillingham,South West,England,51.041648,-2.281764
SP8 4BZ,SP8,4BZ,Dorset,,Gillingham,South West,England,51.041202,-2.28015
SP8 4DA,SP8,4DA,Dorset,,Gillingham,South West,England,51.042194,-2.282823
SP8 4DB,SP8,4DB,Dorset,,Gillingham,South West,England,51.04277,-2.282484
SP8 4DH,SP8,4DH,Dorset,,Gillingham,South West,England,51.032543,-2.291221
SP8 4DL,SP8,4DL,Dorset,,Gillingham,South West,England,51.039798,-2.28084
SP8 4FJ,SP8,4FJ,Dorset,,Gillingham,South West,England,51.039004,-2.285457
SP8 4FZ,SP8,4FZ,Dorset,,Gillingham,South West,England,51.037023,-2.279454
SP8 4GF,SP8,4GF,Dorset,,Gillingham,South West,England,51.032866,-2.291223
SP8 4NA,SP8,4NA,Dorset,,Gillingham,South West,England,51.037507,-2.279956
SP8 4NB,SP8,4NB,Dorset,,Gillingham,South West,England,51.036506,-2.281091
SP8 4ND,SP8,4ND,Dorset,,Gillingham,South West,England,51.036956,-2.28088
SP8 4NE,SP8,4NE,Dorset,,Gillingham,South West,England,51.036704,-2.281192
SP8 4NF,SP8,4NF,Dorset,,Gillingham,South West,England,51.037948,-2.283539
SP8 4NG,SP8,4NG,Dorset,,Gillingham,South West,England,51.038428,-2.285909
SP8 4NH,SP8,4NH,Dorset,,Gillingham,South West,England,51.038498,-2.290403
