source,outcode,sold_date,address,postcode,price,bedrooms,tenure,sale_class,lat,lng,ingest_ts
propertydata/sold-prices,SP7,2025-12-19,"7, Barton Hill, SP7 8DQ",SP7 8DQ,300000,,freehold,old_stock,51.0077726,-2.1937926,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2025-12-18,"4, Campion Close, Wyke, SP8 4UG",SP8 4UG,164000,,freehold,old_stock,51.0401027,-2.2877751,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2025-12-18,"18, New Close, Bourton, SP8 5DL",SP8 5DL,227500,,freehold,old_stock,51.075798,-2.3231206,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2025-12-17,"Lyndum, Penn Hill, Bedchester, SP7 0JR",SP7 0JR,872500,,freehold,old_stock,50.9559884,-2.2122699,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2025-12-16,"4a, Ten Acres, SP7 8PP",SP7 8PP,190000,,freehold,old_stock,51.0092594,-2.18691,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2025-12-16,"11, Savoy Court, SP7 8BN",SP7 8BN,255000,,leasehold,old_stock,51.0060157,-2.2002696,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2025-12-16,"3, St Johns Close, Donhead St Mary, SP7 9NB",SP7 9NB,410000,,freehold,old_stock,51.0033122,-2.140714,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2025-12-12,"46, The Meadows, SP8 4SP",SP8 4SP,184000,,freehold,old_stock,51.0319691,-2.268616,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2025-12-12,"16, Cresscombe Close, Peacemarsh, SP8 4GS",SP8 4GS,200000,,freehold,old_stock,51.046208,-2.2813492,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2025-12-12,"Rose Ella, Shaftesbury Road, East Knoyle, SP3 6AR",SP3 6AR,540000,,freehold,old_stock,51.0677443,-2.1723743,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2025-12-12,"Elm House, Gauns Court, East Knoyle, SP3 6DF",SP3 6DF,740000,,freehold,old_stock,51.0703482,-2.1704471,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2025-12-12,"The Willows, Teffont Evias, SP3 5RE",SP3 5RE,982500,,freehold,old_stock,51.0843913,-2.0174098,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2025-12-11,"1, Alice Combes Lane, Tisbury, SP3 6GZ",SP3 6GZ,609000,,freehold,old_stock,51.0680482,-2.0844129,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2025-12-10,"4, Allen Road, SP7 8GB",SP7 8GB,274345,,freehold,old_stock,51.0020731,-2.1766829,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2025-12-08,"13, Denham Drive, Guys Marsh, SP7 0AJ",SP7 0AJ,150000,,freehold,old_stock,50.9826036,-2.2216415,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2025-12-05,"7, Casterbridge Way, SP8 4FG",SP8 4FG,198500,,freehold,old_stock,51.0465101,-2.2836681,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2025-12-04,"Carriers Court, 1, High Street, Shrewton, SP3 4BZ",SP3 4BZ,257500,,freehold,old_stock,51.1964681,-1.9023065,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2025-12-03,"5, Dry Lane, SP8 5DP",SP8 5DP,425000,,freehold,old_stock,51.0368134,-2.2995873,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2025-12-03,"Flat 3, The Old Granary, Barton Hill, SP7 8DQ",SP7 8DQ,122500,,leasehold,old_stock,51.0079065,-2.1935956,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2025-12-03,"Furlong House, High Street, Shrewton, SP3 4DD",SP3 4DD,557000,,freehold,old_stock,51.1982567,-1.9019181,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2025-12-02,"10, Ridgeway Road, SP8 4GH",SP8 4GH,240000,,freehold,old_stock,51.0457941,-2.2813898,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2025-12-02,"39, Marlott Road, SP8 4FA",SP8 4FA,260000,,freehold,old_stock,51.0474665,-2.282641,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2025-12-02,"Sunnyside, Shaftesbury Road, SP8 4LJ",SP8 4LJ,325000,,freehold,old_stock,51.0330493,-2.2620901,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2025-12-02,"16, Vale View, SP7 8TJ",SP7 8TJ,472500,,freehold,old_stock,51.0172311,-2.1904247,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2025-12-01,"12, Morrison Avenue, Tisbury, SP3 6GX",SP3 6GX,670000,,freehold,old_stock,51.0681552,-2.0865158,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2025-11-28,"9, Cypress Way, SP8 4BY",SP8 4BY,170000,,freehold,old_stock,51.0401338,-2.2783432,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2025-11-28,"14, Roseberry Gardens, SP8 4RG",SP8 4RG,225000,,freehold,old_stock,51.0443496,-2.2775466,2026-02-16T14:24:08.993Z
